題目,答案
當事人之一方已選定仲裁人之後，得以書面方式催告另一方於多久內選定仲裁人？,14日
公司決定提高股利支付率，將使未來年度本益比：,無法判斷
「證券交易法」第一百五十七條之一所定內部人交易之民事賠償責任，其賠償對象為下列何者？,當日就該股票善意從事相反買賣之人
下列何者非證券自營商於營業處所議價買賣股票之範圍？,零股買賣
公司召開股東會時，股東行使其表決權，下列敘述何者為非？,得以公告方式行使其表決權
股票發行之溢價應列入：,資本公積
委託人未依規定交付融資自備款或融券保證金者，證券商之下列處理方式何者正確？,代辦交割手續
證券商代理證券金融公司辦理融資融券買賣業務，應編製何種報表與證券金融公司辦理對帳？,證券金融事業融資融券申請表
投資人對於媒體轉載證券商研究報告，何者錯誤?,媒體轉載個股價格，可直接參考，無須注意分析內容
逐筆交易實施後，何種委託種類會觸發並進入價格穩定措施？,一般限價委託
上市公司應設置薪資報酬委員會，有關薪資報酬委員會成員應取得之專業資格條件不包含？,AI
根據資本資產訂價模型（CAPM），抗跌性強的股票其系統性風險指標可能為：,β＜1
證券商得為認購（售）權證發行人資格條件為：,經營自營、承銷及經紀業務之綜合證券商
下列何者非「證券交易法」規範事項？,公司之設立登記與組織
經中央目的事業主管機關出具其係屬科技事業或文化創意事業且其產品開發成功具有市場性之明確意見書之公司，申請上櫃時得不受哪一申請條件限制？,設立滿二個完整會計年度
下列何種人員不得進入集中交易市場？,證券商業同業公會派駐人員
下列何種科目不在資產負債表中？,所得稅費用
何者不屬於市場風險？,某公司被同業併購
公開發行股票公司之何種人員轉讓股票，應按「證券交易法」之特別規定為之？,持股超過公司股份總額百分之十之股東
不動產抵押債權證券屬於：,金融資產
股票已上市公司，再發行新股者，其新股股票於何時起上市買賣？,新股股票向股東交付之日
有關董事會評鑑之評估方式有哪些？,其他3個選項皆是
股票已在經核定之國外證券市場掛牌交易，且經財團法人中華民國證券櫃檯買賣中心同意上櫃買賣者稱之為？,第二上櫃公司
於櫃檯買賣之公司債之最低成交單位為面額：,一萬元
證券商欲經營外國債券之經紀或自營買賣業務，須先取得哪一機關許可?,中央銀行
下列何者為窗飾之作法？,其他3個選項皆是
法定盈餘公積之性質屬於：,保留盈餘之一部分
轉換公司債每一交易單位之面額為多少？,新臺幣十萬元
下列何者在計算時，會將有關的資產轉換成現金所需時間的長短列入考量？,流動性指數
何者金融創新應用可以快速回應事件的發生？,市場供應
下列何者須於送件7個營業日前委託股務代理機構，透過網際網路資訊申報系統向集保公司申請專業股務代理機構證明文件？,其他3個選項皆是
申請創新板上市時，何者非為強制集保之對象？,財務長
臺灣證券交易所對在計算發布處置基數期間，未曾依監視當沖標準公布注意交易資訊之有價證券，處置措施的期間為何？,10個營業日
證券商交割專戶設置客戶分戶帳應逐日編製日報表，並於每日何時傳送前日日報表資料予證券交易所，再由證券交易所轉傳集保結算所提供客戶查詢?,10:00:00
有關國內採用IFRSs預計產生之效益，下列何者錯誤？,財務報表的揭露規定較為簡化，可大幅減少成本
有一投資組合由甲、乙兩股票組成，請問在什麼情況之下，投資組合報酬率之標準差為甲、乙兩股票個別標準差之加權平均？,兩股票報酬率相關係數＝1
下列何者非證券集中保管事業之經營業務？,代辦證券商之融資融券事項
假設履約價格為八十元，標的股票價格為七十元，則該認購權證處於：,價外（Out-of-the-money）
應付員工之退休金負債，應如何計提？,按權責基礎
當投資人的風險態度轉趨保守時，證券市場線（SML）將會：,斜率變陡
對於上市之有價證券，意圖影響集中交易市場有價證券交易價格，而散布流言或不實資料者，最高可處幾年有期徒刑？,10年
以下有關買賣委託之敘述，何者錯誤?,限價買進時，不得在限價以下成交
某證券商流動資產為二十億元，則其流動負債不得超過多少元？,20億元
下列敘述何者正確？,資訊資產應列有清冊，清冊並應加以維護
開立受託買賣帳戶滿幾個月才可申請開立信用帳戶？,三個月
一般而言，若公司未來成長機會的價值已被反映到當期股價上，則購買何種股票的投資人將無法賺到超額報酬？甲.負成長公司；乙.零成長公司；丙.正成長公司,甲、乙、丙
從事房地產銷售之A上市公司（下稱A公司）擬辦理私募普通股，甲、乙、丙、丁皆為合格應募人。依我國現行證券法令及相關實務見解，A公司對何人於私募完成前負有提供與本次私募有關財務、業務或其他資訊之義務。？,淨資產超過新臺幣1千萬元、以股市、房地產投資為專業之自然人丙
哪一個機構是資本市場促進資本形成之主要成員？,證券商
申請創新板上市應先由主辦證券承銷商上市輔導或登錄為興櫃股票櫃檯買賣，期限規定為何？,6個月
下列何者非景氣同時指標（Coincident indicator）？,股價指數
根據馬凱爾五大定理，一債券到期殖利率上升一碼與下降一碼所產生之折價額與溢價額比較為何?,折價額小於溢價額
下列何者非為買賣委託書上之委託方式?,網際網路委託
某上市公司正依破產保護法之規定進行相關程序，公司董事實際知悉後，在消息發布前即賣出該公司股票，可能涉有？,內線交易
"甲公司應收帳款週轉率13，當年度平均應收帳款$50,000，平均不動產、廠房及設備餘額$500,000，則不動產、廠房及設備週轉率為：",1.3
證券商之董事、監察人、大股東及從業人員買賣上櫃股票應如何辦理？,應於本身所投資或服務證券商買賣
櫃檯買賣市場上受託買賣之手續費率係?,由證券櫃買中心報請金管會核定之
失業率是景氣循環的：,落後指標
下列有關「公司法」所稱「關係企業」之敘述何者正確？,關係企業包括控制與從屬公司以及相互投資公司
經評估客戶單日買賣額度在多少金額以上者，其徵信資料應視客戶資產狀況隨時調查更新？,500萬元
因融券而標借、標購所產生之費用，由何人負擔？,融券人
從短期債權人的角度來看，下列何者最沒有意義？,應收帳款週轉率
推薦證券商自其所推薦之股票開始在櫃檯買賣之日起多久期限內，不得辭任？,一年
下列何者之交易方式不屬於與推薦證券商或造市商議價交易？,上櫃股票
武塔公司本年度存貨週轉率比上期增加許多，可能的原因為：,其他3個選項都是可能的原因
證券商經營櫃檯買賣，應遵守下列哪一事項？,兼具證券自營商及證券經紀商者，應於每次買賣時之書面文件，區別其為自行或代客買賣
臺灣創新板漲跌幅限制為：,0.1
下列股東會實務，何者並「不」符合公司治理原則？,阻止小股東發言
證券商辦理有價證券買賣融資融券，對所留存客戶融券賣出價款及融券保證金，不得作下列哪項運用？,有價證券之自營買賣
"三民公司購買設備，成本$1,000,000，估計可用10年，殘值$50,000。若採用雙倍餘額遞減法（Double Declining Balance）提列折舊，則使用第2年之折舊費用若干？",160000
證券集中交易市場買賣成交之有價證券，其集中交割之收付作業係由交易所委託下列何機構辦理？,證券集中保管事業
當市場報酬率變動4%時，若甲股票報酬率也隨之變動6%，請問甲股票的貝它係數為何？,1.5
根據資本資產訂價模型（CAPM），若一證券之期望報酬率低於無風險利率，則：,貝它係數為負
合約負債中，滿足履約義務的部分應轉入下列那一個帳戶？,收入
依「公司法」規定，解散之公司，在清算時期中，得於何種目的範圍，暫時經營業務？,得為了結現務及便利清算之目的，暫時經營業務
衡量一個企業來自營業活動現金流量是否足以支應資本支出，存貨淨增加數及現金股利需求的比率稱為：,現金流量允當比率
下列交易行為何者為證券商或其分支機構所禁止？,其他3個選項皆是
生物辨識技術目前廣為金融或科技業者使用，下列何者不是目前常用的生物特徵？,DNA
證券商得經客戶指示，以證券商交割專戶辦理下列何種業務款項之收付?,其他3個選項皆是
投資人首次買賣下列ETF前，那個不須先簽署風險預告書？,全球5G股票ETF
自113年第幾季起，發送通過財務報表的董事會召集通知應發布重訊?,第1季
竹田公司的淨利率為0.02，權益報酬率為10%，平均資產總額／平均權益比為2，則其總資產週轉率為：,2.5
雲林公司出售以持有供交易為目的之投資所產生之現金流量，屬於：,營業活動
以下何種投資人可以使用綜合交易帳戶進行買賣？,其他3個選項皆是
臺灣證券交易所臉書按讚總數大約多少?,多於3萬
依資本市場之效率性可將市場分為：,強式效率市場、半強式效率市場與弱式效率市場
「證券交易法施行細則」係由下列何機關所訂定？,行政院
證券交易所有違反法令之行為時，主管機關得為停止或禁止證券交易所全部或一部業務之處分，停止之期間依法為多長？,6個月
證券金融公司發生券源不足時所採行辦法之順序，是先公開標借，若不足時再洽特定人議價，仍不足時，最後才採行：,標購
下列何者為臺灣證券交易所「投資人知識網」的內容?,其他3個選項皆是
投資人需年滿幾歲才可開立信用帳戶？,18歲
下列哪一個官網的資訊宜涵蓋至永續資訊之管理的內部控制?,ESG專區
一般而言，股價波動性對理性投資人的意涵在於：,可以賺取價差
依「證券交易法」第一百五十七條之一利用內線消息買賣之民事責任的賠償額是？,消息未公開或公開後18小時內，其買（賣）價與公開後10個營業日收盤平均價之差額
證券商辦理委託人融資買進與融券賣出沖抵之交易，下列敘述何者錯誤？,資券相抵不必列入當日其融資融券限額內計算
下列關於「證券承銷」之敘述何者正確？,可有「包銷」或「代銷」兩種方式
何者為「證券分析」的目的？,尋找某些價格被高估或低估的資產
有關我國櫃檯買賣市場現行交易方式，下列何者正確？,採等殖成交系統交易債券
依「財團法人中華民國證券櫃檯買賣中心有價證券借貸辦法」規定，有價證券之出借費率，不超過該種有價證券等價成交系統最後一筆成交價格多少為限?,0.07
櫃檯買賣證券商應於開業前幾個營業日向證券櫃買中心申報？,五個
有價證券借貸之議借交易，其升降單位為：,0.1‰
"小王將1,000元存入銀行，若年利率為0.6%，每年付息一次，則2年後會變為：","1,012元"
已依證交法發行之公司得於一定條件下對特定人招募有價證券，稱之為何種行為？,私募
新藥研發公司申請創新板上市，其核心產品應通過哪一階段的臨床試驗？,第二階段
下列有關股份有限公司組織的敘述何者不正確？,一般而言，公司的所有權很難移轉給他人
下列有關證券商受託買賣外國有價證券應提供投資人資料之敘述，何者錯誤?,證券商得以資料或研究報告非本公司所核准發行為由，主張免除其責任
下列何者為金融科技相關的風險與監理之面向？,其他3個選項皆是
自112年7月31日起，期貨ETF之最近十個營業日，平均單位淨資產價值較其最初單位淨資產價值累積跌幅達多少比例以上時，投資人僅得賣出不得買進？,0.85
依發行人募集與發行有價證券處理準則之規定，發行人自金管會及金管會指定之機構收到申報書件即日起至申報生效前，除依法令發布之資訊外，下列何項敘述為不正確？,可先向投資人推薦股票
股票承銷公開抽籤之電腦作業，由哪一機構負責？,臺灣證券交易所
公司對員工依「公司法」規定優先認購之股份，得限制不得轉讓之期限最長為：,2年
甲公司的本益比為12倍，權益報酬率為13%（假設期初權益帳面金額等於期末權益帳面金額），則市價淨值比為何？,1.56
依我國證券交易法規定選任獨立董事公開發行股份有限公司，有重大之資產或衍生性商品交易事項於提董事會討論時，如獨立董事有反對意見或保留意見，請問應如何處理？,應於董事會議事錄記載
下列何種標的不可進行定期定額投資?,其他3個選項皆是
證券商受託買賣何種有價證券，應向非專業投資之客戶交付「風險預告書」？,外國有價證券
下列何者為臺灣證券交易所「宅在家學習網」所提供的內容包括有?,其他3個選項皆是
有價證券借貸之交易型態不包括下列何者?,等價交易
下列何者不符合證券商僱用業務人員應具備之條件？,曾犯詐欺罪，受有期徒刑宣告，但已執行完畢滿一年者
何者不屬於道氏理論中之波動？,移動平均波動
不動產、廠房及設備之取得成本應包括購價，並：,扣除現金折扣
除經主管機關核准者外，公開發行公司應於會計年度第二季終了後幾日內，公告並申報由董事長、經理人及會計主管簽名或蓋章，並經會計師核閱及提報董事會之財務報告？,45日
在大陸地區設立登記的公司是否可以直接申請來臺第一上市?,不可以；宜透過其海外控股公司為上市主體申請來臺上市
證券承銷商代銷有價證券，於承銷契約所訂之承銷期間屆滿後，對於約定代銷之有價證券，未能全數銷售者，其剩餘數額之有價證券如何處理？,得退還發行人
現金流量比率等於：,營業活動淨現金流量／流動負債
下列有關證券爭議之仲裁判斷效力之敘述何者正確？,與法院之確定判決，有同一效力
某股市作手與財經節目分析師共謀，於節目中散布特定個股之不實消息意圖影響市場，可能涉及何種違法行為？,操縱股價。
外國企業公司欲申請來臺灣第一上市，需於上市時向臺灣證券交易所繳納多少上市審查費?,50萬元
對有價證券之行情與認募重要事項為虛偽之記載而散布於眾者，最重可處多少年以下之有期徒刑？,7年
關於發行申報、公告之財務報告內容有虛偽或隱匿情事時之民事賠償責任，其賠償對象為下列何者？,限於因而受有損害之善意取得人、出賣人或持有人
待分配股票股利在資產負債表上，應列於：,權益
公司之股東名簿，自然人應使用國民身分證記載之姓名為戶名，對於同一股東之戶號：,僅能開列一個戶號
依「證券交易法」所定刑事責任，有期徒刑最重為幾年？,10年
下列何項不屬於財務報表的「要素」（Element）？,來自營業活動的現金流量
上市或上櫃公司應於每月十日申報並公告之上月份營運情形，不包括下列何者？,資產淨額
ETF架構為開放型基金，是否會跟一般基金一樣，調整投資組合內容？,會，隨著其標的指數成分股的調整而調整
未完成反向買進之當日沖銷交易部位，投資人透過應付當日沖銷券差平台借入證券之借券每日費率最高為何?,0.07
假設台積電今天收盤股價為320元，請問下一個營業日漲停板價格為何？,352元
請問證券商申報投資人違約相關資訊，可以在以下哪個網站找到？,證交所官網-違約公告專區
編製合併報表時，母公司持有子公司發行之特別股視為：,收回特別股
上市公司有何種情事，證交所應依「證券交易法」停止該公司上市之有價證券買賣，並報請主管機關備查？,其他3個選項皆是
流動資產增加，公司企業血壓：,有可能上升或不變
在股利折現模型（Dividend Discount Model）裡，下列何者不會影響折現率？,資產報酬率
投資ETN的風險為何？,其他3個選項皆是
下列選項為以文化創意事業身分申請股票上市之發行公司資料，請問哪一項不符合申請條件？,申請上市時之實收資本額為新台幣兩億元
創新板股票上市首五日的漲跌幅限制為何？,無漲跌幅
依現行「證券交易法」規定，公開發行公司設置審計委員會者，未經審計委員會通過之事項，何者不得由全體董事以三分之二以上同意取而代之？,年度財務報告及須經會計師查核簽證之第二季財務報告
鉅額交易最低數額標準?,其他3個選項皆是
相同經濟事實的兩公司同一年的折舊方式皆採用年數合計法，係強化哪項品質特性？,可比性
有關借入有價證券的運用，下列哪一個正確？,有用途上之限制
下列有關我國資產重估規定之敘述，何者正確？,符合條件者不一定須辦理重估
有價證券得為融資融券標準係由下列哪一機構訂定發布？,金融監督管理委員會
臺幣對美元貶值所造成的影響，以下何者不正確？,貨幣供給增加
「證券交易法」所謂發行，係指發行人於募集後，依法定方式所為之何種行為？,製作並交付有價證券
頂埔公司以其全部應收帳款為質押向銀行融資借款，此事件對該公司的影響為：,速動資產增加
關於證券商辦理內部稽核業務之人員，下列何項敘述錯誤？,證券商應於異動後5日內，向臺灣證券交易所等申報登記
公司在預定買回期間，執行買回本公司股份所預定之最高及最低之買回價格，稱為：,買回區間價格
上市公司的客戶，因為職務之便實際知悉公司即將調降財測，而在市場周知之前賣出股票，如此可能構成以下何種行為？,內線交易
依「櫃買中心外幣計價國際債券管理規則」，下列哪種外幣計價之證券為國際債券?,其他3個選項皆是
買賣臺灣存託憑證之證券交易稅率為：,1‰
公司宣布並發放股票股利：,權益比率不變
下列有關保留盈餘指撥之敘述，何者正確？,保留盈餘的指撥，將使權益總額不變
下列何者不具有交割結算基金優先受償之權利？,證券金融公司
企業進行轉投資，執行購入長期股票的控股策略，請問就現金流量表之分析，這項交易應屬下列何種活動？,投資活動
下列何者非證券集中交易市場之結算標的？,台股期貨
安全邊際係指：,銷貨收入－損益兩平銷貨收入
融券之證券，每一交易單位之市場價格，超過規定融券限額時，委託人信用帳戶內如無融券餘額，得融券幾個交易單位？,一交易單位
「公司法」規定，以募集設立方式公開招募股份時，發起人所認股份不得少於第一次發行股份之若干？,四分之一
證券集中交易市場上市之有價證券，何者得為帳簿劃撥？,其他3個選項皆是
老王過去使用濾嘴法則進行投資決策，常使他賺取豐厚的利潤，其所處市場應屬哪一效率市場假說？,其他3個選項皆非
證券商出借有價證券予客戶，應與客戶議定出借費率，此費率上限何者正確？,年利率16％
下列那些科目屬於「非」常續性？　甲、營業收入；乙、停業單位損益；丙、會計政策變動追溯適用影響數；丁、營業費用,僅乙、丙
已設置審計委員會之公開發行公司，依法應經審計委員會決議之特定事項，應得全體委員多少比例之同意？,二分之一
以下哪些屬於自願設置之功能性委員會?,其他3個選項皆是
證券商辦理融資融券時，對客戶所留存融券賣出之價款或融券保證金，依法不得作下列何項之運用？,買賣公司債
下列有關永續報告書編製重點，何者正確？,避免過度艱澀的專有名詞
幾個常見的網路攻擊手法中，哪一個可以在沒有主機程序的情況下自我複製並傳播？,蠕蟲
股份有限公司依公司法規定申請停止公開發行時，應由代表已發行股份總數____以上之股東出席股東會，以出席股東表決權_____以上同意行之?(公司章程有較高規定從其規定),三分之二，二分之一
「證券交易法」對足以影響市場秩序行為之違約不履行交割的法定刑責為：,三年以上十年以下有期徒刑
股份有限公司發起人股份不得轉讓限制，於設立登記多久後才能解除？,無限制
金融控股公司發行普通公司債，並檢具對外公開發行公司債申報書與書件，向金融監督管理委員會提出申報，一般情形，金管會受理發行公司債申報書之日起幾個營業日即可申報生效？,10個
證券集中交易市場內有價證券之買賣分為哪三種？,普通交割之買賣、成交日交割之買賣、特約日交割之買賣
證券商委託人月成交金額達5千萬元以上者，除專業機構投資人與透過保管機構進行款券保管、交易確認及辦理交割者外，應抽查多少樣本數，並以掛號向委託人戶籍地詢證?,至少20%或20戶
基本分析所考量的因素，不包括：,成交量
證交所臉書的內容包括：,其他3個選項皆是
下列敘述何者錯誤？,有價證券之募集及發行，除政府債券或經主管機關核定之其他有價證券外，報請主管機關備查即可為之。
有關仲裁人之推定與選定，下列敘述何者有誤?,未約定仲裁人及選定方式者，應由兩造各推一仲裁人，共同仲裁
若參加證券櫃買中心債券等殖成交系統，應以哪種方式為之？,自營
利率上升所造成的影響，以下敘述何者不正確？,投資者的必要報酬率會下降
自113年11月11日起，下列何者其資格符合證券商辦理證券業務借貸款項，上市上櫃公司現金增資發行新股認股借貸的資金融通對象？,發行公司之原股東及員工
目前證券商營業處所受託買賣有價證券的交易手續費上限為多少？,1.5‰
證券交易所之設立，未於登記前先經主管機關之特許或許可，處多少罰金？,新臺幣一百八十萬元以下
證券交易所備供證券買賣一方不履行交付義務時之代為支付，而就其證券交易經手費提存之準備金稱之為：,賠償準備金
下列有關公司債之敘述何者「正確」?,可轉換公司債賦予投資人可轉換一定數量的普通股股數
上市公司於臺灣證券交易所終止上市時，可向櫃買中心申請股票為何種股票？,管理股票
假設其他條件不變，外幣存款的規模逐漸擴大，將會使何者貨幣供給增加？,M2
當公司有以下哪一情事時，即使符合基本資格，證券櫃買中心仍認為其不適宜上櫃買賣？,其他3個選項皆是
有關投資人買賣ETN之敘述，下列何者為非？,ETN於上市時即可信用交易
集中交易市場存託憑證每日之升降幅度為：,0.1
弱式效率市場表示無法以哪一項資料獲得超額報酬？,技術分析
有關公司治理主管之進修時數？,每年應至少進修18小時
在K線型態中，長紅之後收十字線的孕育十字線（Harami Cross）可視為：,頭部訊號
下列何者屬於無形資產？,商標權
何者「不是」影響資本市場線（CML）的斜率的因素？,投資組合報酬率標準差
普通股每股損失$2，分配20%股票股利將使每股損失：,減少
客戶何種委託買賣方式，證券經紀商不得受理？,其他3個選項皆不得受理
債券價格上漲的原因可能為：,市場資金大幅寬鬆
發行新股上市買賣之公司，應於新股上市後幾日內，將有關文件送達臺灣證券交易所？,10日內
現行股票「一般交易」的成交時間為何時？,09:00~13:30
融券人欲標的證券公司有下列哪種情況不用強制回補？,臨時股東會
私人間直接讓受上市有價證券，其數量不得超過一個成交單位，且前後兩次之讓受行為相隔不少於多少期間？,3個月
下列何者為被動式操作管理之基金?,其他3個選項皆是
雙溪公司的財務槓桿度為1.3倍，營運槓桿度為2.8倍，則公司綜合槓桿度為：,3.64
發行5年期，2年內可轉換為普通股之公司債，在資產負債表中應列為：,長期負債
證券商經營櫃檯買賣業務，依法應向證券櫃檯買賣中心繳存下列何項費用方得經營？,給付結算基金
在半強式效率市場中，股價會因為何種因素而超漲？,公司內部人的拉抬
殖利率小於票面利率的債券稱為：,溢價債券
下列何者非為「證券交易法」規定之證券業務種類？,有價證券之保管
若依我國企業實務慣用分類方式編製現金流量表，下列何者屬於因營業活動而產生之現金流量？,收到存貨保險賠償款
當股價持續上漲，而OBV線卻下滑時，代表：　甲.價量背離；乙.買進訊號；丙.價漲量增；丁.賣出訊號,甲、丁
對債權人而言，公司下列何項決策讓債權人認為相對有利？,發放股票股利
證券經紀商依規定預收客戶買進之價金時，應透過何者為之？,交割專戶
下列何種上市有價證券之交易可不在證券集中交易市場為之？,其他3個選項皆是
依「證券交易法」規定，從事內線交易者應負何種法律責任？,刑事責任及民事責任
下列何種人非「證券交易法」第一百五十七條之一禁止利用未公開重大影響股票價格之消息所列之「內部人」？,透過媒體報導知悉公司虧損遂賣出持股一萬股之股東
"某上市公司之股票發行量為1,000萬股，股價60元，本益比為15倍，該公司年度盈餘等於：","40,000,000元"
下列何者不是導致ETN終止上市的因素？,發行人拒絕投資人的申購申請
證券商會計主管之任免，應經何人同意？,董事會以董事過半數出席，及出席董事過半數同意之決議
下列哪個因素會使證券市場線（SML）的斜率變緩？,Rm變小
ETF可否進行零股交易？,可以
委託人委託證券經紀商買賣有價證券之委託方式為：,其他3個選項皆是
得為融資融券之受益憑證，有下列哪一種情形時，已融資融券者，應於終止上市前第一個營業日前償還或還券了結？,受益憑證經買回致其基金規模達終止上市標準時
證券集中交易市場上市證券拍賣程序，委託申請拍賣者，應由何者填具申請書向證交所辦理？,僅證券經紀商
股票未在國外證券市場掛牌交易，且其股票經臺灣證券交易所股份有限公司同意上市之外國發行人稱之為：,第一上市公司
投資資訊中心可以顯示多久的交易資訊,30個交易日
「證券交易法」所謂「利用他人名義持有股票」，有關具備之要件下列何者錯誤？,受贈他人所持有之股票
長期營業用資產須於何時作資產減損之測試？,客觀證據顯示資產價值有減損可能時
"甲公司所生產的礦泉水每瓶售價$35，其中變動成本佔60%，已知目前每年產量為40,000瓶，該公司剛好損益兩平，請問其固定成本約為多少？",400000
決定一財務報表資訊是否具有「重大性」的標準，通常是看該項資訊是否：,影響一般投資人的專業判斷
下列哪一項基金之風險最高？,產業型基金
下列何者非為動態分析？,流動比率分析
在計算現金再投資比率時，分母包括：　甲、不動產、廠房及設備總額；乙、長期投資；丙、現金股利；丁、營運資金,甲、乙、丁
證券經紀商受託買賣有價證券，關於電子式交易部分應依下列何項規定辦理？,其他3個選項皆是
以下哪一個會計科目，不應在綜合損益表之營業費用項中出現？,匯兌損失
已知曉臣公司股價每股56，每股股利2，每股帳面金額46，每股盈餘7，請問曉臣公司的本益比為？,8倍
「證券交易法」第一百五十七條之一「內線交易」構成要件，指該消息明確後，未公開前或公開後多少小時內，不得買入或賣出？,18小時
投資人在單一公司頁面，可找到哪些資訊,其他3個選項皆是
證券商須經主管機關之許可及發給許可證照，方得營業，非證券商不得經營證券業務，故證券商之設立採何種制度？,許可制
證券商業務人員類別及其職務之配合，下列敘述何者有誤？,業務員從事內部稽核或主辦會計職務
不限用途款項借貸之擔保品範圍下列何者錯誤?,外幣買賣之指數股票型基金受益憑證
有關開戶作業規定，何者有誤？,因證券交易違背契約紀錄已結案但未滿五年者，不可以開戶
下列何者屬於國庫券的特性？,到期憑票兌領本息
若一食品公司兼營營建開發業務，則欲瞭解其食品業存貨週轉情況之計算，以下列何者為佳？,（營業成本－營建銷貨成本）／（存貨－營建存貨）
下列何種事業非為集中保管劃撥作業之參加人？,散戶投資人
土地辦理重估後，其對財務報表影響之敘述，何者不正確？,折舊增加
關於ETF的敘述，下列何者為非？,投資人可透過證券商以定期定額方式投資所有類型ETF
依證券商設置標準許可之證券商，擬申請設置分支機構者，至少自開始營業後屆滿多久時間方可申請？,一年
依「證券交易法」規定，證券主管機關認為有必要時，得以命令規定公開發行公司於分派盈餘時，應另提一定比率之何種公積？,特別盈餘公積
股份有限公司之發起人最少應有人數若干？,二人
甲公司董事長乙未經證券主管機關核准，亦未申報，即自行公開招募所發行之有價證券，請問，乙之行為應負何法律責任？,可處二年以下有期徒刑
以下何者為參加創新板初上市申購抽籤或競價拍賣承銷作業投資人須具備合格投資人身份之具體條件?,其他3個選項皆是
集中市場有價證券之交易，連續幾個營業日經發布注意交易資訊者，證交所即發布為處置之有價證券？,5個
下列何者為「貨幣市場」的工具?,可轉讓定期存單
股份有限公司欲委任專業經理人，原則上需有董事會過半數出席及出席董事多少比例同意？,二分之一
存貨週轉率係測試存貨轉換為下列哪項科目的速度？,銷貨成本
基本分析中的由上而下（Top-Down）分析法認為影響股價最重要的因素是：,總體因素
下列何種承銷方式較具公平性及股權分散？,公開申購配售
其他條件相同時，當殖利率改變時，到期日較短之債券，其價格變動幅度會：,較小
下列何者「不」是企業永續經營的內涵理念?,只在乎短期利益最大化
證券商對於監理人員本於法令之指示，未切實遵行者，則依「證券交易法」可處以法定最高有期徒刑為何？,1年
"桃園公司X1年度純益640,000，其他有關資料如下：折舊170,000，應付租金減少數30,000，出售長期股權投資損失80,000，銀行借款$1,018,000。則由營業活動產生之現金淨流入為何？",860000
